background,background-(def-all-nosource)
POI-OSM-icons,poi_separate-uncategorized-icon-(poi_osm-all-osm)
POI-OSM-labels,poi_separate-uncategorized-label-(poi_osm-all-osm)
POI-LIPAS-retkeily-circles,poi_separate-camping-circle-(poi_lipas-fin-lipas_points)
POI-LIPAS-retkeily-icons,poi_separate-camping-icon-(poi_lipas-fin-lipas_points)
POI-LIPAS-retkeily-labels,poi_separate-camping-label-(poi_lipas-fin-lipas_points)
POI-LIPAS-harrastus-circles,poi_separate-hobby-circle-(poi_lipas-fin-lipas_points)
POI-LIPAS-harrastus-icons,poi_separate-hobby-icon-(poi_lipas-fin-lipas_points)
POI-LIPAS-harrastus-labels,poi_separate-hobby-label-(poi_lipas-fin-lipas_points)
POI-OSM-nahtavyys-circles,poi_separate-attraction-circle-(poi_osm-all-osm)
POI-OSM-nahtavyys-icons,poi_separate-attraction-icon-(poi_osm-all-osm)
POI-OSM-nahtavyys-labels,poi_separate-attraction-label-(poi_osm-all-osm)
POI-OSM-majoitus-circles,poi_separate-lodging-circle-(poi_osm-all-osm)
POI-OSM-majoitus-icons,poi_separate-lodging-icon-(poi_osm-all-osm)
POI-OSM-majoitus-labels,poi_separate-lodging-label-(poi_osm-all-osm)
POI-OSM-tauko-circles,poi_separate-break-circle-(poi_osm-all-osm)
POI-OSM-tauko-icons,poi_separate-break-icon-(poi_osm-all-osm)
POI-OSM-tauko-labels,poi_separate-break-label-(poi_osm-all-osm)
POI-OSM-huolto-circles,poi_separate-supplies_maintenance-circle-(poi_osm-all-osm)
POI-OSM-huolto-icons,poi_separate-supplies_maintenance-icon-(poi_osm-all-osm)
POI-OSM-huolto-labels,poi_separate-supplies_maintenance-label-(poi_osm-all-osm)
POI-OSM-liikenne-circles,poi_separate-traffic-circle-(poi_osm-all-osm)
POI-OSM-liikenne-icons,poi_separate-traffic-icon-(poi_osm-all-osm)
POI-OSM-liikenne-labels,poi_separate-traffic-label-(poi_osm-all-osm)
POI-OSM-autopysakointi-circles,poi_separate-car_parking-circle-(poi_osm-all-osm)
POI-OSM-autopysakointi-icons,poi_separate-car_parking-icon-(poi_osm-all-osm)
POI-OSM-autopysakointi-labels,poi_separate-car_parking-label-(poi_osm-all-osm)
